degree,mean_energy_gauss2,rotation_count
1,6.9499866547014593,541
2,2.9065683138053147,541
3,8.7998989460031556,541
4,5.1232991585175593,541
5,8.4963183377188223,541
6,6.9215746078125111,541
7,7.3197481444102612,541
8,7.1794425990397412,541
9,7.2816275597841971,541
10,6.864358503655839,541
11,6.1156750227406249,541
12,5.6459955241060618,541
13,4.711268438593966,541
14,4.1266994153865388,541
15,3.4061355436368315,541
16,2.8162585445897919,541
17,2.3475923489868897,541
18,1.8843401239316675,541
19,1.4542443019280078,541
20,1.1992298648027775,541
21,0.94037932983030215,541
22,0.75149376851394334,541
23,0.59592157188683681,541
24,0.4672593161631502,541
25,0.36485633491200342,541
26,0.28959149077059926,541
27,0.22716179784419241,541
28,0.18612129957905604,541
29,0.15255367028783262,541
30,0.12635109688055518,541
31,0.10605490291333262,541
32,0.093068895557954112,541
33,0.081122220366010703,541
34,0.071732427987792557,541
35,0.064188433125524899,541
36,0.058587171623616437,541
37,0.053228308043573827,541
38,0.050522509497697411,541
39,0.046805324732808691,541
40,0.04447322841770425,541
41,0.041729021961719362,541
42,0.038625113898517999,541
43,0.036736199278206212,541
44,0.035168550112968419,541
45,0.033654994451071139,541
46,0.032236416080230354,541
47,0.030747591041654664,541
48,0.030157495976764561,541
49,0.028901794785360868,541
50,0.028638346043202024,541
51,0.027894306030202553,541
52,0.027056270334663159,541
53,0.026702170587014046,541
54,0.025486508327256435,541
55,0.024423816895125367,541
56,0.023956394135663354,541
57,0.022815479466596782,541
58,0.023030837637938943,541
59,0.021711710210576513,541
60,0.02209773883336234,541
